5centimeterspersecond,5 Centimeters per Second
theselegsdontlieharumislegacyasthestrongestmimic,These Legs Don't Lie! Harumi's Legacy as the Strongest Mimic
thesevendeadlysins,The Seven Deadly Sins
theshiningsea,The Shining Sea
thesidekicknevergetsthegirlletalonetheprotagssister,"The Sidekick Never Gets the Girl, Let Alone the Protag's Sister!"
thesorcererkingofdestructionandthegolemofthebarbarianqueen,The Sorcerer King of Destruction and the Golem of the Barbarian Queen
thesorcerersreceptionist,The Sorcerer's Receptionist
thestoriesofibis,The Stories of Ibis
thestrangeadventureofabrokemercenary,The Strange Adventure of a Broke Mercenary
thestrongestknightisactuallyacrossdressingnoblewoman,The Strongest Knight is Actually a Cross-Dressing Noblewoman?!
thetalesofmarielleclarac,The Tales of Marielle Clarac
thethousandyearbeach,The Thousand Year Beach
thetrialsofchiyodaku,The Trials of Chiyodaku
thetroublesofmissnicolatheexorcist,The Troubles of Miss Nicola the Exorcist
thetunneltosummertheexitofgoodbyes,"The Tunnel to Summer, the Exit of Goodbyes"
theundeadkingsreignofpeace,The Undead King's Reign of Peace
theunderdogoftheeightgreatertribes,The Underdog of the Eight Greater Tribes
theunimplementedoverlordshavejoinedtheparty,The Unimplemented Overlords Have Joined the Party!
theunwantedundeadadventurer,The Unwanted Undead Adventurer
thevexationsofashutinvampireprincess,The Vexations of a Shut-In Vampire Princess
thevillainessandthedemonknight,The Villainess and the Demon Knight
thevioletknight,The Violet Knight
thewatermagician,The Water Magician
theweakestmangavillainesswantsherfreedom,The Weakest Manga Villainess Wants Her Freedom!
theweakestmangavillainesswantsherfreedommanga,The Weakest Manga Villainess Wants Her Freedom! (Manga)
theweakesttamerbeganajourneytopickuptrash,The Weakest Tamer Began a Journey to Pick Up Trash
theweirnbooks,The Weirn Books
thewerewolfcountandthetrickstertailor,The Werewolf Count and the Trickster Tailor
thewhitecatsrevengeasplottedfromthedragonkingslap,The White Cat's Revenge as Plotted from the Dragon King's Lap
theworldbowsdownbeforemyflames,The World Bows Down Before My Flames
theworldsfastestlevelup,The World's Fastest Level Up
theworldsfinestassassingetsreincarnatedinanotherworldasanaristocrat,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat
theworldsleastinterestingmasterswordsman,The World's Least Interesting Master Swordsman
theworldsstrongestrearguard,The World's Strongest Rearguard
theworldsstrongestrearguardlabyrinthcountrysnoviceseeker,The World's Strongest Rearguard: Labyrinth Country's Novice Seeker
thewrongwaytousehealingmagic,The Wrong Way to Use Healing Magic
thirdloopthenamelessprincessandthecruelemperor,Third Loop: The Nameless Princess and the Cruel Emperor
thoughiamanineptvillainess,Though I Am an Inept Villainess
thoughiamanineptvillainesstaleofthebutterflyratbodyswapinthemaidencourt,Though I Am an Inept Villainess: Tale of the Butterfly-Rat Body Swap in the Maiden Court
thousandautumns,Thousand Autumns
threedaysofhappiness,Three Days of Happiness
titan,TITAN
titananovel,TITAN: A Novel
toanotherworldwithlandmines,To Another World... with Land Mines!
toeveryyouivelovedbefore,To Every You I've Loved Before
tokyoghoul,Tokyo Ghoul
tometheonewholovedyou,"To Me, The One Who Loved You"
toomanylosingheroines,Too Many Losing Heroines!
toostrongtobelongbanishedtoanotherworld,Too Strong to Belong! Banished to Another World!
toradora,Toradora!
tortureprincessfremdtorturchen,Torture Princess: Fremd Torturchen
towerofthesun,Tower of the Sun
trappedinadatingsim,Trapped in a Dating Sim
trappedinadatingsimotomegamesaretoughforustoo,"Trapped in a Dating Sim: Otome Games Are Tough For Us, Too!"
trappedinadatingsimtheworldofotomegamesistoughformobs,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs
truelovefadesawaywhenthecontractends,True Love Fades Away When the Contract Ends
truelovefadesawaywhenthecontractendsonestarinthenightsky,True Love Fades Away When the Contract Ends – One Star in the Night Sky
truetenchimuyo,True Tenchi Muyo!
tsukimichimoonlitfantasy,Tsukimichi: Moonlit Fantasy
tsukimonogatari,Tsukimonogatari
turningthetablesontheseatmatekiller,Turning the Tables on the Seatmate Killer
unnamedmemory,Unnamed Memory
usurperofthesun,Usurper of the Sun
vampirehunterd,Vampire Hunter D
vampireknight,Vampire Knight
victoriaofmanyfaces,Victoria of Many Faces
villainesslevel99imaybethehiddenbossbutimnotthedemonlord,Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord
villainessreloadedblowingawaybadendswithmodernweapons,Villainess: Reloaded! Blowing Away Bad Ends with Modern Weapons
vivyfluoriteeyessong,Vivy Fluorite Eye's Song
vivyprototype,Vivy Prototype
voicesofadistantstar,Voices of a Distant Star
vtuberlegendhowiwentviralafterforgettingtoturnoffmystream,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream
waitformeyesterdayinspring,Wait For Me Yesterday in Spring
walkingmysecondpathinlife,Walking My Second Path in Life
wanderingwitchthejourneyofelaina,Wandering Witch: The Journey of Elaina
warlordsofsigrdrifa,Warlords of Sigrdrifa
warlordsofsigrdrifarusalka,Warlords of Sigrdrifa Rusalka
wataruthehotbloodedfightingteenhisepicadventuresafterstoppingatruckwithhisbarehands,WATARU!!! The Hot-Blooded Fighting Teen & His Epic Adventures After Stopping a Truck with His Bare Hands!!
weatheringwithyou,Weathering With You
welcometojapanmself,"Welcome to Japan, Ms. Elf!"
welcometothedineroftheexiled,Welcome to the Diner of the Exiled!
whensupernaturalbattlesbecamecommonplace,When Supernatural Battles Became Commonplace
whentheclockstrikesz,When the Clock Strikes Z
whetheritrainsorshinestomorrow,Whether It Rains or Shines Tomorrow
whyshouldntadetestabledemonlordfallinlove,Why Shouldn't a Detestable Demon Lord Fall in Love?!
wildtimeswithafakefakeprincess,Wild Times With a Fake Fake Princess
witchandmercenary,Witch and Mercenary
witchthegraphicnovel,W.I.T.C.H.: The Graphic Novel
wizardsofmickey,Wizards of Mickey
wolfandparchment,Wolf and Parchment
wolfchildren,Wolf Children
wolfchildrenameyuki,Wolf Children: Ame & Yuki
wolfparchment,Wolf & Parchment
wolfparchmentnewtheoryspicewolf,Wolf & Parchment: New Theory Spice & Wolf
woofwoofstory,Woof Woof Story
woofwoofstoryitoldyoutoturnmeintoapamperedpoochnotfenrir,"Woof Woof Story: I Told You to Turn Me Into a Pampered Pooch, Not Fenrir!"
wordsbubbleuplikesodapop,Words Bubble Up Like Soda Pop
worldend,WorldEnd
worldendwhatdoyoudoattheendoftheworldareyoubusywillyousaveus,WorldEnd: What Do You Do at the End of the World? Are You Busy? Will You Save Us?
worldteacherspecialagentinanotherworld,World Teacher: Special Agent in Another World
yamihara,Yami-hara
yashakidenthedemonprincess,Yashakiden The Demon Princess
yashirokunsguidetogoingsolo,Yashiro-kun's Guide to Going Solo
yesnoormaybe,"Yes, No, or Maybe?"
yokohamastationsf,Yokohama Station SF
youaremyregret,You Are My Regret
youcallthatservice,You Call That Service?
youcanhavemyback,You Can Have My Back
youcantseethesnow,You Can't See the Snow
youlikemedontyousowannagooutwithme,You Like Me Dont You? So Wanna Go Out with Me?
youlikemenotmydaughter,"You Like Me, Not My Daughter?!"
youngladyalbertiscourtingdisaster,Young Lady Albert Is Courting Disaster
yourforma,Your Forma
yourlieinapril,Your Lie In April
yourname,your name.
yournameanothersideearthbound,your name. Another Side:Earthbound
youvegotmailtheperilsofpigeonpost,You've Got Mail: The Perils of Pigeon Post
youwereexperiencediwasnotourdatingstory,"You Were Experienced, I Was Not: Our Dating Story"
yukikaze,Yukikaze
yumenikkiiamnotinyourdream,Yume Nikki: I Am Not in Your Dream
yuritamafromthirdwheeltotrifecta,Yuri Tama: From Third Wheel to Trifecta
zaregoto,ZAREGOTO
zilbagiasthedemonprincehowtheseventhprincebroughtdownthekingdom,Zilbagias the Demon Prince: How the Seventh Prince Brought Down the Kingdom
zoo,ZOO
zozozombiekun,Zo Zo Zombie-kun
