5centimeterspersecond,5 Centimeters per Second
chillininanotherworldwithlevel2supercheatpowers,Chillin' in Another World with Level 2 Super Cheat Powers
chitoseisintheramunebottle,Chitose Is in the Ramune Bottle
chivalryofafailedknight,Chivalry of a Failed Knight
chroniclesofthehiddenworldhowibecameadoctorforthegods,Chronicles of the Hidden World: How I Became a Doctor for the Gods
classroomforheroes,Classroom for Heroes
classroomoftheelite,Classroom of the Elite
classroomoftheeliteyear2,Classroom of the Elite: Year 2
clearskiesacharminglovestory,Clear Skies A Charming Love Story
clockworkplanet,Clockwork Planet
combatantswillbedispatched,Combatants Will Be Dispatched!
cookingwithwildgame,Cooking with Wild Game
crestofthestars,Crest of the Stars
crossdressingvillainessceciliasylvie,Cross-Dressing Villainess Cecilia Sylvie
culinarychroniclesofthecourtflower,Culinary Chronicles of the Court Flower
dagashiyayahagisettingupasweetsshopinanotherworld,Dagashi-ya Yahagi: Setting Up a Sweets Shop in Another World
dahliainbloomcraftingafreshstartwithmagicaltools,Dahlia in Bloom: Crafting a Fresh Start with Magical Tools
danceinthevampirebund,Dance in the Vampire Bund
darksouls,Dark Souls
datealive,Date A Live
dawnofthemapmaker,Dawn of the Mapmaker
dawnofthemapmakerthesurveyorgirlandtheforbiddenknowledge,Dawn of the Mapmaker: The Surveyor Girl and the Forbidden Knowledge
dayswithmystepsister,Days with My Stepsister
deathbounddukesdaughter,Deathbound Duke's Daughter
deathmarchtotheparallelworldrhapsody,Death March to the Parallel World Rhapsody
deathnote,Death Note
deathsdaughterandtheebonyblade,Death's Daughter and the Ebony Blade
defeatingthedemonlordsacinchifyouvegotaringer,Defeating the Demon Lord's a Cinch (If You've Got a Ringer)
demonkingdaimaou,Demon King Daimaou
demonlord2099,Demon Lord 2099
demonlordretry,"Demon Lord, Retry!"
demonscrest,Demons' Crest
demonslayer,Demon Slayer
demonslayerkimetsunoyaiba,Demon Slayer: Kimetsu no Yaiba
dendera,Dendera
derwerwolftheannalsofveight,Der Werwolf: The Annals of Veight
dgenesisthreeyearsafterthedungeonsappeared,D-Genesis: Three Years after the Dungeons Appeared
didiseriouslyjustgetreincarnatedasmygagcharacter,Did I Seriously Just Get Reincarnated as My Gag Character?!
didntisaytomakemyabilitiesaverageinthenextlife,Didn't I Say to Make My Abilities Average in the Next Life?!
didntisaytomakemyabilitiesaverageinthenextlifelilysmiracle,Didn't I Say to Make My Abilities Average in the Next Life?! Lily's Miracle
discipleofthelich,Disciple of the Lich
discipleofthelichorhowiwascursedbythegodsanddroppedintotheabyss,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss!
disney,Disney
divisionmaneuver,Division Maneuver
doyouloveyourmomandhertwohitmultitargetattacks,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?
dragonandceremony,Dragon and Ceremony
dragonball,Dragon Ball
dragondaddydiariesagirlgrowstogreatness,Dragon Daddy Diaries: A Girl Grows to Greatness
dragonswordandwindchild,Dragon Sword and Wind Child
drugstoreinanotherworld,Drugstore in Another World
drugstoreinanotherworldtheslowlifeofacheatpharmacist,Drugstore in Another World: The Slow Life of a Cheat Pharmacist
duchessintheattic,Duchess in the Attic
dungeonbusters,Dungeon Busters
dungeondiveaimforthedeepestlevel,DUNGEON DIVE: Aim for the Deepest Level
durarara,Durarara!!
durararash,Durarara!! SH
earlandfairy,Earl and Fairy
easygoingterritorydefensebytheoptimisticlord,Easygoing Territory Defense by the Optimistic Lord
easygoingterritorydefensebytheoptimisticlordproductionmagicturnsanamelessvillageintothestrongestfortifiedcity,Easygoing Territory Defense by the Optimistic Lord: Production Magic Turns a Nameless Village into the Strongest Fortified City
echo,ECHO
emethislandofgolems,emeth: Island of Golems
endoandkobayashilivethelatestontsunderevillainesslieselotte,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte
enoughwiththisslowlifeiwasreincarnatedasahighelfandnowimbored,Enough with This Slow Life! I Was Reincarnated as a High Elf and Now I'm Bored
evangelion,Evangelion
evenareplicacanfallinlove,Even a Replica Can Fall in Love
evendogsgotootherworlds,Even Dogs Go to Other Worlds
evendogsgotootherworldslifeinanotherworldwithmybelovedhound,Even Dogs Go to Other Worlds: Life in Another World with My Beloved Hound
evenifthesetearsdisappeartonight,Even If These Tears Disappear Tonight
evenifthislovedisappearsfromtheworldtonight,Even If This Love Disappears from the World Tonight
evenifthislovedisappearstonight,Even If This Love Disappears Tonight
expeditioncookingwiththeenochroyalknights,Expedition Cooking with the Enoch Royal Knights
expisgolden,EXP Is Golden
failureframe,Failure Frame
failureframeibecamethestrongestandannihilatedeverythingwithlowlevelspells,Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells
fakeittobreakitifakedamnesiatobreakoffmyengagementandnowhesallloveydovey,Fake It to Break It! I Faked Amnesia to Break Off My Engagement and Now He's All Lovey-Dovey?!
fakesaintoftheyearyouwantedtheperfectsainttoobad,Fake Saint of the Year: You Wanted the Perfect Saint? Too Bad!
fantasyinbound,Fantasy Inbound
festivalofheresies,Festival of Heresies
fianceenomoretheforsakenladytheprinceandtheirmakebelievelove,"Fiancée No More: The Forsaken Lady, the Prince, and Their Make-Believe Love"
finalfantasy,Final Fantasy
finalfantasyiiiiii,Final Fantasy I * II * III
finalfantasyviionthewaytoasmile,Final Fantasy VII: On the Way to a Smile
finalfantasyviithekidsarealrightaturkssidestory,Final Fantasy VII: The Kids Are Alright: A Turks Side Story
finalfantasyxiii2fragmentsafter,Final Fantasy XIII-2: Fragments After
finalfantasyxiii2fragmentsbefore,Final Fantasy XIII-2: Fragments Before
finalfantasyxiiiepisodezeropromise,Final Fantasy XIII: Episode Zero: Promise
findingavalonthequestofachaosbringer,Finding Avalon: The Quest of a Chaosbringer
fireworks,Fireworks
fireworksshouldweseeitfromthesideorthebottom,"Fireworks, Should We See It from the Side or the Bottom?"
fluffyparadise,Fluffy Paradise
forgetbeingthevillainessiwanttobeanadventurer,"Forget Being the Villainess, I Want to Be an Adventurer!"
formerlythefallendaughteroftheduke,"Formerly, the Fallen Daughter of the Duke"
foxtales,Fox Tales
freelifefantasyonline,Free Life Fantasy Online
freelifefantasyonlineimmortalprincess,Free Life Fantasy Online: Immortal Princess
fromdeskjobtodeathbeaminanotherworldwithmyalmightylasers,From Desk Job to Death Beam: In Another World with My Almighty Lasers
fromoldcountrybumpkintomasterswordsmanmyhotshotdisciplesareallgrownupnowandtheywontleavemealone,"From Old Country Bumpkin to Master Swordsman: My Hotshot Disciples Are All Grown Up Now, and They Won't Leave Me Alone"
fromtoxicclassmatetogirlfriendgoals,From Toxic Classmate to Girlfriend Goals
fromtruanttoanimescreenwritermypathtoanohanaandtheanthemoftheheart,From Truant to Anime Screenwriter: My Path to “Anohana” and “The Anthem of the Heart”
fromtwobitbaddietototalheartthrobthisvillainesswillcrossdresstoimpress,From Two-Bit Baddie to Total Heartthrob: This Villainess Will Cross-Dress to Impress!
fullclearinganotherworldunderagoddesswithzerobelievers,Full Clearing Another World under a Goddess with Zero Believers
fullmetalalchemist,Fullmetal Alchemist
fullmetalpanic,Full Metal Panic!
fullmetalpanicshortstories,Full Metal Panic! Short Stories
fushinokamirebuildingcivilizationstartswithavillage,Fushi no Kami: Rebuilding Civilization Starts With a Village
gateofsorrows,Gate of Sorrows
geardrive,Gear Drive
genemapper,Gene Mapper
genocidalorgan,Genocidal Organ
ghostintheshell,Ghost in the Shell
girlskingdom,Girls Kingdom
goblinslayer,Goblin Slayer
goblinslayersidestoryiidaikatana,Goblin Slayer Side Story II: Dai Katana
goblinslayersidestoryyearone,Goblin Slayer Side Story: Year One
goblinslayertabletoproleplayinggame,Goblin Slayer Tabletop Roleplaying Game
godsgamesweplay,Gods' Games We Play
goodbyeotherworldseeyoutomorrow,"Goodbye Otherworld, See You Tomorrow"
goodbyeovertimethisreincarnatedvillainessislivingforhernewbigbrother,"Goodbye, Overtime! This Reincarnated Villainess Is Living for Her New Big Brother"
goth,Goth
grandmasterofdemoniccultivation,Grandmaster of Demonic Cultivation
grandsumovillainess,Grand Sumo Villainess
grimgaroffantasyandash,Grimgar of Fantasy and Ash
grimoireofzerothedawnofthewitch,"Grimoire of Zero, The Dawn of the Witch"
guardian,Guardian
guidetotheperfectotakugirlfriendroomiesandromance,Guide to the Perfect Otaku Girlfriend: Roomies and Romance
guillotinebride,Guillotine Bride
guinsaga,Guin Saga
haibarasteenagenewgame,Haibara's Teenage New Game+
halfspiritalovestoryacrosstheveilofdeath,Half Spirit: a love story across the veil of death
hanamonogatari,Hanamonogatari
hanzaijapan,Hanzai Japan
harmony,Harmony
haruhisuzumiya,Haruhi Suzumiya
hatsunemiku,Hatsune Miku
hazureskill,Hazure Skill
hazureskilltheguildmemberwithaworthlessskillisactuallyalegendaryassassin,Hazure Skill: The Guild Member with a Worthless Skill Is Actually a Legendary Assassin
heavenlyswordsofthetwinstars,Heavenly Swords of the Twin Stars
heavenofficialsblessing,Heaven Official's Blessing
hellisdarkwithnoflowers,Hell Is Dark with No Flowers
hellmode,Hell Mode
helloiamawitchandmycrushwantsmetomakealovepotion,"Hello, I am a Witch and my Crush Wants me to Make a Love Potion!"
helloworld,HELLO WORLD
helloworldthenovel,HELLO WORLD: The Novel
hermajestysswarm,Her Majesty's Swarm
heroinesaintnoimanallworksmaidandproudofit,"Heroine? Saint? No, I'm an All-Works Maid (And Proud of It)!"
herosyndrome,Hero Syndrome
heyyouvekidnappedthewrongroyal,Hey! You've Kidnapped the Wrong Royal!
higehiroafterbeingrejectedishavedandtookinahighschoolrunaway,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway"
highschooldxd,High School DxD
highschoolprodigieshaveiteasyeveninanotherworld,High School Prodigies Have It Easy Even in Another World!
hiranoandkagiura,Hirano and Kagiura
hollowregalia,Hollow Regalia
holmesofkyoto,Holmes of Kyoto
horrorcollector,Horror Collector
hotgimmick,Hot Gimmick
